winner,score
Uthura Rudras,156.0
Uthura Yellows,158.0
Uttar Pradesh,151.14
Uva Next,136.5
Victoria,167.42
Warriors,145.09
Warwickshire,159.6
Wayamba,131.75
Wayamba United,156.0
Wellington,166.35
West Indies,144.79
West Indies A,122.6
Western Australia,169.88
Western Province,151.5
Western Troopers,165.0
Worcestershire,168.06
Yorkshire,160.32
Zimbabwe,161.0
Zimbabwe XI,160.0
