city,title,title
Cincinnati,Southern,1
Dracut,Caribbean,1
Dracut,Italian,1
Dracut,Laotian,1
Dracut,Latin American,1
Dracut,Mediterranean,1
Dracut,Thai,1
East Perth,Modern Australian,1
Fairfield,American (Traditional),2
Fairfield,Asian Fusion,1
Fairfield,Barbeque,1
Fairfield,Bars,1
Fairfield,Breakfast & Brunch,1
Fairfield,Diners,1
Fairfield,Japanese,1
Fairfield,Pool Halls,1
Fairfield,Sushi Bars,1
Fairfield,Thai,1
Hamilton,American (New),5
Hamilton,American (Traditional),8
Hamilton,Asian Fusion,1
Hamilton,Barbeque,4
Hamilton,Bars,2
Hamilton,Beer Gardens,1
Hamilton,Breakfast & Brunch,2
Hamilton,Burgers,4
Hamilton,Chicken Wings,3
Hamilton,Chinese,3
Hamilton,Coffee & Tea,2
Hamilton,Comfort Food,1
Hamilton,Cupcakes,1
Hamilton,Delis,1
Hamilton,Desserts,3
Hamilton,Diners,1
Hamilton,Fast Food,3
Hamilton,Food Trucks,1
Hamilton,Gastropubs,1
Hamilton,Greek,1
Hamilton,Hot Dogs,1
Hamilton,Ice Cream & Frozen Yogurt,1
Hamilton,Indian,1
Hamilton,Irish,1
Hamilton,Italian,3
Hamilton,Japanese,1
Hamilton,Mediterranean,1
Hamilton,Mexican,6
Hamilton,Pizza,4
Hamilton,Restaurants,3
Hamilton,Salad,2
Hamilton,Salvadoran,1
Hamilton,Sandwiches,7
Hamilton,Seafood,1
Hamilton,Soup,1
Hamilton,Southern,2
Hamilton,Sports Bars,1
Hamilton,Steakhouses,3
Hamilton,Vegetarian,1
Houston,American (New),21
Houston,American (Traditional),6
Houston,Argentine,2
Houston,Asian Fusion,3
Houston,Bakeries,1
Houston,Barbeque,1
Houston,Bars,10
Houston,Beer Gardens,1
Houston,Breakfast & Brunch,8
Houston,Burgers,5
Houston,Butcher,1
Houston,Cajun/Creole,2
Houston,Chicken Shop,1
Houston,Chinese,2
Houston,Cocktail Bars,5
Houston,Coffee & Tea,1
Houston,Comfort Food,1
Houston,Delis,2
Houston,Desserts,2
Houston,Dim Sum,1
Houston,Empanadas,1
Houston,Food Court,1
Houston,Food Stands,1
Houston,Food Trucks,1
Houston,French,2
Houston,Gastropubs,5
Houston,Greek,1
Houston,Halal,2
Houston,Hawaiian,2
Houston,Hot Dogs,1
Houston,Italian,5
Houston,Izakaya,2
Houston,Japanese,1
Houston,Juice Bars & Smoothies,1
Houston,Korean,2
Houston,Kosher,1
Houston,Latin American,1
Houston,Lounges,1
Houston,Mediterranean,1
Houston,Mexican,4
Houston,Middle Eastern,1
Houston,Music Venues,1
Houston,Pasta Shops,1
Houston,Pizza,3
Houston,Poke,3
Houston,Portuguese,1
Houston,Ramen,4
Houston,Salad,2
Houston,Sandwiches,10
Houston,Seafood,9
Houston,Soul Food,2
Houston,Soup,1
Houston,South African,3
Houston,Southern,12
Houston,Steakhouses,2
Houston,Sushi Bars,1
Houston,Szechuan,1
Houston,Tacos,2
Houston,Tapas/Small Plates,4
Houston,Tea Rooms,1
Houston,Thai,1
Houston,Ukrainian,1
Houston,Vegan,1
Houston,Vegetarian,4
Houston,Vietnamese,1
Houston,Waffles,1
Houston,Wine Bars,2
Liberty Township,American (New),4
Liberty Township,Breakfast & Brunch,2
Liberty Township,Pubs,1
Liberty Township,Vegetarian,1
Liberty Township,Wine Bars,1
Liberty Township,Wine Tasting Room,1
Los Angeles,African,1
Los Angeles,American (New),23
Los Angeles,American (Traditional),7
Los Angeles,Asian Fusion,8
Los Angeles,Bakeries,3
Los Angeles,Barbeque,1
Los Angeles,Bars,7
Los Angeles,Beer Bar,1
Los Angeles,Brazilian,1
Los Angeles,Breakfast & Brunch,9
Los Angeles,Bubble Tea,1
Los Angeles,Burgers,2
Los Angeles,Cajun/Creole,2
Los Angeles,Caterers,2
Los Angeles,Chicken Shop,2
Los Angeles,Chinese,3
Los Angeles,Cocktail Bars,4
Los Angeles,Comfort Food,1
Los Angeles,Delis,2
Los Angeles,Desserts,1
Los Angeles,Diners,1
Los Angeles,Food Stands,1
Los Angeles,French,4
Los Angeles,Gastropubs,6
Los Angeles,Grocery,1
Los Angeles,Indonesian,1
Los Angeles,Italian,10
Los Angeles,Japanese,3
Los Angeles,Korean,7
Los Angeles,Latin American,3
Los Angeles,Lebanese,2
Los Angeles,Lounges,2
Los Angeles,Mediterranean,5
Los Angeles,Mexican,3
Los Angeles,Modern European,1
Los Angeles,New Mexican Cuisine,1
Los Angeles,Noodles,2
Los Angeles,Pizza,5
Los Angeles,Pop-up Shops,1
Los Angeles,Pubs,1
Los Angeles,Ramen,2
Los Angeles,Salad,4
Los Angeles,Sandwiches,3
Los Angeles,Seafood,6
Los Angeles,Soul Food,1
Los Angeles,Soup,2
Los Angeles,Southern,4
Los Angeles,Spanish,1
Los Angeles,Steakhouses,1
Los Angeles,Taiwanese,3
Los Angeles,Tapas/Small Plates,3
Los Angeles,Vegan,1
Los Angeles,Venues & Event Spaces,1
Los Angeles,Wine Bars,3
Lowell,American (New),8
Lowell,American (Traditional),8
Lowell,Art Galleries,1
Lowell,Asian Fusion,4
Lowell,Bakeries,1
Lowell,Barbeque,2
Lowell,Bars,5
Lowell,Beer Bar,1
Lowell,Beer Wine & Spirits,1
Lowell,Brazilian,1
Lowell,Breakfast & Brunch,4
Lowell,Bubble Tea,1
Lowell,Burgers,1
Lowell,Butcher,1
Lowell,Cafes,4
Lowell,Cajun/Creole,1
Lowell,Cambodian,7
Lowell,Caribbean,1
Lowell,Chicken Wings,2
Lowell,Chinese,2
Lowell,Coffee & Tea,2
Lowell,Delis,1
Lowell,Dim Sum,1
Lowell,Diners,4
Lowell,Dive Bars,1
Lowell,Dominican,1
Lowell,Egyptian,1
Lowell,Empanadas,1
Lowell,Fast Food,1
Lowell,Food Trucks,2
Lowell,Greek,2
Lowell,Hot Dogs,1
Lowell,Indian,3
Lowell,Irish,1
Lowell,Italian,3
Lowell,Juice Bars & Smoothies,1
Lowell,Korean,1
Lowell,Latin American,2
Lowell,Mediterranean,3
Lowell,Mexican,2
Lowell,Music Venues,2
Lowell,Pizza,8
Lowell,Portuguese,3
Lowell,Pubs,2
Lowell,Ramen,1
Lowell,Restaurants,1
Lowell,Salad,3
Lowell,Sandwiches,7
Lowell,Seafood,2
Lowell,Soup,1
Lowell,Spanish,3
Lowell,Specialty Food,1
Lowell,Sports Bars,2
Lowell,Steakhouses,1
Lowell,Sushi Bars,2
Lowell,Tapas Bars,1
Lowell,Thai,3
Lowell,Vegan,2
Lowell,Vegetarian,2
Lowell,Vietnamese,3
Mason,American (New),1
Mason,Cafes,1
Mason,Lebanese,1
Mason,Mediterranean,1
Melbourne,American (Traditional),3
Melbourne,Asian Fusion,13
Melbourne,Australian,7
Melbourne,Bars,11
Melbourne,Beer Bar,1
Melbourne,Beer Gardens,1
Melbourne,Breakfast & Brunch,5
Melbourne,Burgers,4
Melbourne,Cafes,8
Melbourne,Chicken Shop,2
Melbourne,Chinese,2
Melbourne,Chocolatiers & Shops,1
Melbourne,Cocktail Bars,6
Melbourne,Coffee & Tea,2
Melbourne,Delis,1
Melbourne,Desserts,2
Melbourne,Dim Sum,1
Melbourne,Fast Food,4
Melbourne,Fish & Chips,1
Melbourne,French,2
Melbourne,Gastropubs,1
Melbourne,Gluten-Free,1
Melbourne,Greek,1
Melbourne,Indian,1
Melbourne,Italian,9
Melbourne,Japanese,4
Melbourne,Korean,4
Melbourne,Malaysian,2
Melbourne,Mediterranean,3
Melbourne,Mexican,1
Melbourne,Middle Eastern,1
Melbourne,Modern Australian,4
Melbourne,Modern European,5
Melbourne,Noodles,1
Melbourne,Pizza,1
Melbourne,Ramen,2
Melbourne,Salad,3
Melbourne,Sandwiches,4
Melbourne,Seafood,3
Melbourne,Shanghainese,1
Melbourne,Spanish,5
Melbourne,Steakhouses,4
Melbourne,Sushi Bars,1
Melbourne,Tapas/Small Plates,9
Melbourne,Thai,5
Melbourne,Vegetarian,1
Melbourne,Venues & Event Spaces,3
Melbourne,Vietnamese,4
Melbourne,Wine Bars,3
Middletown,American (Traditional),1
Middletown,Barbeque,1
Middletown,Greek,1
Middletown,Mediterranean,1
Monroe,Barbeque,1
Monroe,Breweries,1
Monroe,Pubs,1
Montreal,American (Traditional),4
Montreal,Asian Fusion,1
Montreal,Bakeries,1
Montreal,Barbeque,3
Montreal,Bars,8
Montreal,Bistros,1
Montreal,Brasseries,2
Montreal,Breakfast & Brunch,5
Montreal,Burgers,1
Montreal,Cafes,1
Montreal,Cajun/Creole,1
Montreal,Canadian (New),14
Montreal,Chinese,3
Montreal,Coffee & Tea,1
Montreal,Creperies,1
Montreal,Cuban,1
Montreal,Delicatessen,1
Montreal,Delis,2
Montreal,Diners,2
Montreal,Filipino,1
Montreal,French,17
Montreal,Gluten-Free,1
Montreal,Haitian,1
Montreal,Indonesian,1
Montreal,Italian,5
Montreal,Japanese,7
Montreal,Jazz & Blues,1
Montreal,Korean,2
Montreal,Lebanese,2
Montreal,Malaysian,1
Montreal,Mediterranean,5
Montreal,Mexican,2
Montreal,Middle Eastern,1
Montreal,Modern European,2
Montreal,Pizza,1
Montreal,Portuguese,3
Montreal,Poutineries,4
Montreal,Pubs,3
Montreal,Sandwiches,3
Montreal,Seafood,4
Montreal,Singaporean,1
Montreal,Soup,1
Montreal,Spanish,2
Montreal,Steakhouses,5
Montreal,Tapas Bars,2
Montreal,Tapas/Small Plates,2
Montreal,Vegan,1
Montreal,Vegetarian,1
Montreal,Venezuelan,1
Montreal,Wine Bars,4
Orlando,American (New),39
Orlando,American (Traditional),17
Orlando,Asian Fusion,10
Orlando,Bakeries,1
Orlando,Barbeque,2
Orlando,Bars,12
Orlando,Beer Bar,2
Orlando,Brasseries,1
Orlando,Brazilian,4
Orlando,Breakfast & Brunch,9
Orlando,Breweries,1
Orlando,British,1
Orlando,Bubble Tea,1
Orlando,Buffets,1
Orlando,Burgers,18
Orlando,Cafes,1
Orlando,Cajun/Creole,3
Orlando,Caribbean,2
Orlando,Chicken Wings,1
Orlando,Chinese,2
Orlando,Cocktail Bars,15
Orlando,Coffee & Tea,2
Orlando,Colombian,2
Orlando,Comfort Food,2
Orlando,Cuban,1
Orlando,Desserts,3
Orlando,Dominican,1
Orlando,Empanadas,1
Orlando,Fast Food,4
Orlando,Food Delivery Services,1
Orlando,French,1
Orlando,Gastropubs,5
Orlando,Greek,1
Orlando,Hot Dogs,1
Orlando,Hot Pot,3
Orlando,Ice Cream & Frozen Yogurt,2
Orlando,Irish,1
Orlando,Italian,7
Orlando,Japanese,5
Orlando,Korean,4
Orlando,Latin American,9
Orlando,Lebanese,2
Orlando,Lounges,3
Orlando,Malaysian,1
Orlando,Mediterranean,4
Orlando,Mexican,10
Orlando,Moroccan,1
Orlando,Music Venues,3
Orlando,Noodles,2
Orlando,Pasta Shops,1
Orlando,Peruvian,3
Orlando,Pizza,5
Orlando,Portuguese,1
Orlando,Pubs,4
Orlando,Ramen,2
Orlando,Salad,7
Orlando,Sandwiches,10
Orlando,Seafood,25
Orlando,Smokehouse,1
Orlando,Soup,6
Orlando,Southern,5
Orlando,Spanish,5
Orlando,Sports Bars,2
Orlando,Steakhouses,11
Orlando,Street Vendors,1
Orlando,Sushi Bars,9
Orlando,Szechuan,1
Orlando,Tacos,2
Orlando,Tapas Bars,6
Orlando,Tapas/Small Plates,3
Orlando,Tex-Mex,4
Orlando,Thai,5
Orlando,Vegan,2
Orlando,Vegetarian,7
Orlando,Venezuelan,2
Orlando,Vietnamese,3
Orlando,Wine Bars,6
Orlando,Wine Tasting Room,1
Orlando,Wineries,1
Ottawa,African,1
Ottawa,American (Traditional),3
Ottawa,Asian Fusion,2
Ottawa,Barbeque,2
Ottawa,Bars,4
Ottawa,Bistros,1
Ottawa,Breakfast & Brunch,5
Ottawa,British,1
Ottawa,Burgers,1
Ottawa,Burmese,1
Ottawa,Cafes,2
Ottawa,Canadian (New),21
Ottawa,Caribbean,2
Ottawa,Chinese,1
Ottawa,Cocktail Bars,2
Ottawa,Comfort Food,2
Ottawa,Delis,2
Ottawa,Desserts,2
Ottawa,Diners,3
Ottawa,Fast Food,2
Ottawa,French,5
Ottawa,Gastropubs,6
Ottawa,German,1
Ottawa,Greek,3
Ottawa,Ice Cream & Frozen Yogurt,1
Ottawa,Imported Food,1
Ottawa,Indian,2
Ottawa,Italian,6
Ottawa,Latin American,1
Ottawa,Lebanese,1
Ottawa,Live/Raw Food,2
Ottawa,Lounges,2
Ottawa,Mediterranean,3
Ottawa,Mexican,5
Ottawa,Middle Eastern,2
Ottawa,Piano Bars,1
Ottawa,Pizza,2
Ottawa,Pubs,3
Ottawa,Ramen,1
Ottawa,Salad,3
Ottawa,Salvadoran,1
Ottawa,Sandwiches,3
Ottawa,Seafood,7
Ottawa,Seafood Markets,2
Ottawa,Southern,1
Ottawa,Spanish,1
Ottawa,Specialty Food,1
Ottawa,Steakhouses,2
Ottawa,Sushi Bars,1
Ottawa,Tapas/Small Plates,5
Ottawa,Tex-Mex,1
Ottawa,Thai,1
Ottawa,Vegan,1
Ottawa,Venues & Event Spaces,1
Ottawa,Vietnamese,1
Ottawa,Wine Bars,3
Oxford,American (Traditional),2
Oxford,Bars,1
Oxford,German,1
Oxford,Italian,1
Oxford,Sports Bars,1
Perth,American (Traditional),3
Perth,Arabian,1
Perth,Asian Fusion,2
Perth,Australian,9
Perth,Bars,13
Perth,Beer Bar,2
Perth,Bistros,2
Perth,Breakfast & Brunch,10
Perth,Buffets,1
Perth,Burgers,2
Perth,Cafes,8
Perth,Cantonese,1
Perth,Chinese,1
Perth,Cocktail Bars,8
Perth,Coffee & Tea,6
Perth,Desserts,1
Perth,Dim Sum,2
Perth,Fast Food,4
Perth,French,1
Perth,Gastropubs,1
Perth,Gluten-Free,6
Perth,Indian,3
Perth,Italian,7
Perth,Izakaya,1
Perth,Japanese,5
Perth,Korean,4
Perth,Latin American,1
Perth,Lebanese,1
Perth,Mediterranean,1
Perth,Mexican,1
Perth,Middle Eastern,1
Perth,Modern Australian,13
Perth,Modern European,1
Perth,Noodles,2
Perth,Persian/Iranian,1
Perth,Pizza,2
Perth,Pubs,2
Perth,Restaurants,2
Perth,Sandwiches,3
Perth,Seafood,2
Perth,Shanghainese,1
Perth,South African,1
Perth,Spanish,2
Perth,Steakhouses,3
Perth,Street Vendors,1
Perth,Sushi Bars,1
Perth,Tapas/Small Plates,4
Perth,Thai,3
Perth,Vegetarian,1
Perth,Vietnamese,2
Perth,Wine Bars,6
San Jose,Acai Bowls,2
San Jose,Afghan,2
San Jose,African,1
San Jose,American (New),9
San Jose,American (Traditional),10
San Jose,Asian Fusion,20
San Jose,Bakeries,3
San Jose,Barbeque,7
San Jose,Bars,10
San Jose,Beer Bar,2
San Jose,Brasseries,1
San Jose,Brazilian,1
San Jose,Breakfast & Brunch,10
San Jose,Bubble Tea,3
San Jose,Burgers,6
San Jose,Burmese,2
San Jose,Cajun/Creole,4
San Jose,Cambodian,1
San Jose,Cantonese,1
San Jose,Caribbean,1
San Jose,Chicken Shop,1
San Jose,Chicken Wings,2
San Jose,Chinese,9
San Jose,Cocktail Bars,9
San Jose,Coffee & Tea,4
San Jose,Colombian,1
San Jose,Delis,1
San Jose,Desserts,4
San Jose,Falafel,2
San Jose,Fast Food,1
San Jose,Fish & Chips,1
San Jose,Food Stands,1
San Jose,French,5
San Jose,Gastropubs,3
San Jose,German,2
San Jose,Gluten-Free,1
San Jose,Greek,7
San Jose,Halal,2
San Jose,Hawaiian,8
San Jose,Honduran,1
San Jose,Hot Pot,5
San Jose,Ice Cream & Frozen Yogurt,1
San Jose,Indian,3
San Jose,Italian,7
San Jose,Izakaya,1
San Jose,Japanese,17
San Jose,Juice Bars & Smoothies,2
San Jose,Korean,14
San Jose,Latin American,1
San Jose,Live/Raw Food,1
San Jose,Lounges,3
San Jose,Malaysian,1
San Jose,Mediterranean,7
San Jose,Mexican,7
San Jose,Middle Eastern,3
San Jose,Modern European,1
San Jose,Mongolian,1
San Jose,Moroccan,1
San Jose,Noodles,7
San Jose,Pakistani,1
San Jose,Persian/Iranian,2
San Jose,Pizza,5
San Jose,Poke,8
San Jose,Portuguese,1
San Jose,Pubs,1
San Jose,Ramen,4
San Jose,Salad,4
San Jose,Sandwiches,6
San Jose,Seafood,14
San Jose,Shanghainese,1
San Jose,Singaporean,1
San Jose,Soup,5
San Jose,Southern,1
San Jose,Spanish,2
San Jose,Sports Bars,2
San Jose,Steakhouses,4
San Jose,Supper Clubs,1
San Jose,Sushi Bars,10
San Jose,Szechuan,2
San Jose,Taiwanese,4
San Jose,Tapas Bars,1
San Jose,Tapas/Small Plates,4
San Jose,Thai,4
San Jose,Vegetarian,2
San Jose,Venues & Event Spaces,4
San Jose,Vietnamese,14
San Jose,Wine Bars,5
Seattle,American (New),24
Seattle,American (Traditional),2
Seattle,Asian Fusion,8
Seattle,Bakeries,1
Seattle,Barbeque,2
Seattle,Bars,10
Seattle,Basque,1
Seattle,Beer Bar,1
Seattle,Breakfast & Brunch,12
Seattle,Buffets,1
Seattle,Burgers,4
Seattle,Cafes,2
Seattle,Cajun/Creole,1
Seattle,Cantonese,2
Seattle,Caribbean,1
Seattle,Chinese,1
Seattle,Cocktail Bars,11
Seattle,Coffee & Tea,2
Seattle,Comfort Food,1
Seattle,Cuban,1
Seattle,Desserts,4
Seattle,Dim Sum,1
Seattle,French,1
Seattle,Gastropubs,3
Seattle,Gluten-Free,1
Seattle,Greek,1
Seattle,Hawaiian,5
Seattle,Hong Kong Style Cafe,1
Seattle,Hot Pot,1
Seattle,Italian,7
Seattle,Japanese,5
Seattle,Korean,7
Seattle,Live/Raw Food,2
Seattle,Lounges,1
Seattle,Mediterranean,2
Seattle,Mexican,2
Seattle,Modern European,3
Seattle,Noodles,6
Seattle,Pasta Shops,1
Seattle,Pizza,2
Seattle,Poke,3
