id,title
16585483, BBQ
16585905,Italian
18136757,Italian
18383375,Cafe
18383375, Mediterranean
18383375, Coffee and Tea
16573024,Italian
16573024, Mediterranean
16571405,Italian
16578810,Cafe
16578810, Coffee and Tea
16582765,Italian
16582765, Pizza
16582765, Bar Food
16573352,Mediterranean
16573352, Modern Australian
16583066,Thai
16584304,Fish and Chips
16570844,Pub Food
16570844, Belgian
16570844, Australian
16570905,Cafe
16570905, Coffee and Tea
16571686,Italian
16571686, Pizza
16573200,Chinese
16575215,Modern Australian
16578454,Steak
16572235,Seafood
16572235, Steak
16572235, Australian
16573494,Seafood
16573494, Modern Australian
16575118,Modern Australian
16578843,Australian
16579150,Japanese
16579150, Sushi
16581679,Bakery
16581679, Cafe
16581679, Coffee and Tea
16579045,Cafe
16579045, Coffee and Tea
16582975,Coffee and Tea
16582975, Italian
16582975, Pizza
16713883,Fish and Chips
16713883, Fast Food
16580479,Indian
16573357,Asian
16573357, Seafood
16580720,Steak
16580720, Modern Australian
16580868,Burger
16580868, Steak
16571252,Asian
16571252, Vietnamese
16574555,Asian
16574555, Vietnamese
16574828,African
16574828, Ethiopian
16575623,Vietnamese
16585507,Bakery
16585507, Cafe
16585507, Coffee and Tea
16572126,Mediterranean
16572126, Pub Food
16572126, Modern Australian
16574878,Chinese
16577055,Indonesian
16577055, Malaysian
17849686,French
17849686, Bar Food
16572956,Indian
16585920,Cafe
16585920, Coffee and Tea
16582803,Cafe
16582803, Bakery
16582803, Coffee and Tea
16572657,Thai
18138486,Cafe
18138486, Bakery
18138486, Coffee and Tea
16578582,Modern Australian
18365121,Fish and Chips
18365121, Seafood
16571930,Pub Food
16571930, Modern Australian
16573589,Asian
16580792,Malaysian
16582918,Fast Food
16574576,Asian
16574576, Vietnamese
16575658,Thai
16586669,Fish and Chips
16576965,Asian
16576965, Thai
16577595,Fast Food
16577595, Pizza
16578671,Chinese
16578671, Malaysian
16581657,Pizza
16581186,Fish and Chips
16576651,Modern Australian
16576651, Tapas
16580128,Modern Australian
16580128, Pub Food
16571710,Malaysian
16571710, Chinese
16576382,Italian
16576382, Pizza
16576382, Steak
16576907,Desserts
16576907, Coffee and Tea
16584279,Chinese
16584279, Fast Food
17989265,Korean
16571561,Indian
16574696,Seafood
16574696, Steak
16577661,Spanish
16577661, Tapas
16582055,Modern Australian
16577110,Italian
16577110, Pizza
16571542,Italian
16571542, Pizza
16580639,Japanese
16580639, Sushi
16585073,Cafe
16585073, Modern Australian
16585073, Coffee and Tea
16585180,Spanish
16585180, Tapas
16585180, Cafe
16585180, Coffee and Tea
18237709,Cafe
16581247,Asian
16581247, Malaysian
16581247, Fusion
16585716,Italian
16585716, Steak
16576844,Cafe
16576844, Coffee and Tea
16577023,Indian
16577023, Pizza
16579206,Pizza
16573268,Bakery
16573268, French
16571837,Italian
16574472,Asian
16574472, Korean
16580129,Korean BBQ
16580129, Korean
16571373,Desserts
16571373, Cafe
16571373, Bakery
16572836,Desserts
16572725,Malaysian
16572725, Asian
16581006,Coffee and Tea
16581006, Desserts
16571598,Modern Australian
16571890,Italian
16571890, Pizza
16571890, Parma
16571890, Seafood
16571890, Steak
16573124,Asian
16573124, Malaysian
16573930,Thai
16583721,Italian
16583721, Pizza
16571240,Italian
16571240, Pizza
16571546,Italian
16571546, Pizza
16571546, Seafood
16571799,Steak
16571799, Eastern European
16571928,European
16571928, French
16573125,Italian
16573125, Pizza
16573341,Italian
16574375,Italian
16574375, Steak
16575773,Italian
16576558,Italian
16577700,European
16577700, Italian
16577700, Modern Australian
16577015,Bakery
16577015, French
16577015, Cafe
16577015, Patisserie
16571112,Asian
16572762,Italian
16585655,Cafe
16585655, Modern European
16586464,Cafe
16580278,Cafe
16580278, Italian
16573249,Cafe
16573249, Australian
16582705,Fusion
16582705, American
16582705, Caribbean
16580808,Thai
16580808, Vegetarian
16584542,Cafe
16584542, Coffee and Tea
16584542, Modern Australian
16584542, Juices
16584542, Tea
17849372,French
16572492,Thai
16574412,Bar Food
16576339,Thai
16573233,Italian
16573233, Pizza
16577905,Japanese
16583520,Italian
16573482,Middle Eastern
16573482, Kebab
16583764,Cafe
16583764, Eastern European
16576678,Chinese
16585490,Cafe
16583339,Fish and Chips
16583339, Burger
16574750,Bakery
16571788,Latin American
16571788, Mexican
16580039,Burger
16581694,Cafe
16581694, Desserts
16581694, Coffee and Tea
16570927,Cafe
16570927, Crepes
16570927, Desserts
16571610,Spanish
16571610, Tapas
16572571,Modern European
16572571, Vegetarian
16576154,Basque
16576154, Spanish
16576379,Cafe
16576379, Coffee and Tea
16576379, Modern Australian
16579424,Cafe
16579424, Coffee and Tea
16580229,Asian
16580944,Basque
16585402,American
