,Title,Awards,Wins,Nominations,Bafta_Nominations,Oscar_Nominations,Prime_Nominations,Golden_Globe_Nominations,Bafta_Wins,Oscar_Wins,Prime_Wins,Golden_Globe_Wins
4043,Alarm!,,0,0,0,0,0,0,0,0,0,0
4044,Flipping Boston,,0,0,0,0,0,0,0,0,0,0
4045,3 Strikes,,0,0,0,0,0,0,0,0,0,0
4046,Happy Feet Two,,0,0,0,0,0,0,0,0,0,0
4047,2012 UEFA European Football Championship,,0,0,0,0,0,0,0,0,0,0
4048,Made in New Mexico,,0,0,0,0,0,0,0,0,0,0
4049,12:00 Part 1,,0,0,0,0,0,0,0,0,0,0
4050,Puella Magi Madoka Magica the Movie Part 1: Beginnings,,0,0,0,0,0,0,0,0,0,0
4051,Louisiana Lockdown,,0,0,0,0,0,0,0,0,0,0
4052,A Car Called Wanda,,0,0,0,0,0,0,0,0,0,0
4053,The Snow Day Project,,0,0,0,0,0,0,0,0,0,0
4054,Facebook Double,,0,0,0,0,0,0,0,0,0,0
4055,7 Tage ...,,0,0,0,0,0,0,0,0,0,0
4056,3 Orbs of Light,,0,0,0,0,0,0,0,0,0,0
4057,Who Let the Dogs Out,,0,0,0,0,0,0,0,0,0,0
4058,A Short History of Everything Else,,0,0,0,0,0,0,0,0,0,0
4059,20 Reasons I Love,,0,0,0,0,0,0,0,0,0,0
4060,20 Reasons I Dislike,,0,0,0,0,0,0,0,0,0,0
4061,Adventures in Agriculture,,0,0,0,0,0,0,0,0,0,0
4062,A Dog Is Ignoring You from the Passenger Seat of a Parked Car,,0,0,0,0,0,0,0,0,0,0
4063,Party,,0,0,0,0,0,0,0,0,0,0
4064,Speed Dating,,0,0,0,0,0,0,0,0,0,0
4065,Jericho Tobacco,,0,0,0,0,0,0,0,0,0,0
4066,Cousin Ben Troop Screening with Jason Schwartzman,,0,0,0,0,0,0,0,0,0,0
4067,Trevor,,0,0,0,0,0,0,0,0,0,0
4068,Ab durch die Mitte - Das schnellste Quiz der Welt,,0,0,0,0,0,0,0,0,0,0
4069,Achtung Kontrolle! Airport,,0,0,0,0,0,0,0,0,0,0
4070,Brigitte Senut; the Fossil Hunting Lady,,0,0,0,0,0,0,0,0,0,0
4071,Everything Is a Remix; Part 3: The Elements of Creativity,,0,0,0,0,0,0,0,0,0,0
4072,Coming Home,,0,0,0,0,0,0,0,0,0,0
4073,A Day in the Life of Mike Phelps,,0,0,0,0,0,0,0,0,0,0
4074,Spotlight,,0,0,0,0,0,0,0,0,0,0
4075,A Moment With,,0,0,0,0,0,0,0,0,0,0
4076,3 Audrey,,0,0,0,0,0,0,0,0,0,0
4077,Cash Investigation,,0,0,0,0,0,0,0,0,0,0
4078,Syrian Refugees in Jordan,,0,0,0,0,0,0,0,0,0,0
4079,Alivaltiosihteerin televisio-ohjelma,,0,0,0,0,0,0,0,0,0,0
4080,Sisters,,0,0,0,0,0,0,0,0,0,0
4081,The Dorset Toothclaw Massacre,,0,0,0,0,0,0,0,0,0,0
4082,Reunion,,0,0,0,0,0,0,0,0,0,0
4083,13 Witches,,0,0,0,0,0,0,0,0,0,0
4084,Code Red,,0,0,0,0,0,0,0,0,0,0
4085,Friends,,0,0,0,0,0,0,0,0,0,0
4086,La técnica Schiffer,,0,0,0,0,0,0,0,0,0,0
4087,La peur au ventre,,0,0,0,0,0,0,0,0,0,0
4088,Acayip hikayeler,,0,0,0,0,0,0,0,0,0,0
4089,A Picture Worth a Thousand Words,,0,0,0,0,0,0,0,0,0,0
4090,A Touch of Cloth,,0,0,0,0,0,0,0,0,0,0
4091,Alba,,0,0,0,0,0,0,0,0,0,0
4092,Medo de Sangue,1 nomination.,0,1,0,0,0,0,0,0,0,0
4093,Simon,,0,0,0,0,0,0,0,0,0,0
4094,Cita a ciegas,,0,0,0,0,0,0,0,0,0,0
4095,September,,0,0,0,0,0,0,0,0,0,0
4096,3 for the Road,,0,0,0,0,0,0,0,0,0,0
4097,ACE Insider,,0,0,0,0,0,0,0,0,0,0
4098,AKB0048,,0,0,0,0,0,0,0,0,0,0
4099,I Like Talking About Music: A Conversation with the Hussy & the Midwest Beat,,0,0,0,0,0,0,0,0,0,0
4100,Aaaah! - Das Achterbahnquiz,,0,0,0,0,0,0,0,0,0,0
4101,5'er beser,,0,0,0,0,0,0,0,0,0,0
4102,The Ambition of Oda Nobuna,,0,0,0,0,0,0,0,0,0,0
4103,Sean Banan inuti Seanfrika,,0,0,0,0,0,0,0,0,0,0
4104,Adrianne Curry's Super Fans,,0,0,0,0,0,0,0,0,0,0
4105,Acting Out,,0,0,0,0,0,0,0,0,0,0
4106,Absolution,,0,0,0,0,0,0,0,0,0,0
4107,All Access: Victor Ortiz,,0,0,0,0,0,0,0,0,0,0
4108,Save Me,,0,0,0,0,0,0,0,0,0,0
4109,Alien Encounters,,0,0,0,0,0,0,0,0,0,0
4110,A Fertile Alternative,,0,0,0,0,0,0,0,0,0,0
4111,2Fur1,,0,0,0,0,0,0,0,0,0,0
4112,Alifim,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
4113,Chicago Fire,4 wins & 16 nominations.,4,16,0,0,0,0,0,0,0,0
4114,Retribution,,0,0,0,0,0,0,0,0,0,0
4115,Split,,0,0,0,0,0,0,0,0,0,0
4116,The Cinema Snob Movie,,0,0,0,0,0,0,0,0,0,0
4117,A Good Start,,0,0,0,0,0,0,0,0,0,0
4118,A Thousand Days' Promise,3 nominations.,0,3,0,0,0,0,0,0,0,0
4119,A Walk in the Park,1 nomination.,0,1,0,0,0,0,0,0,0,0
4120,Flash,,0,0,0,0,0,0,0,0,0,0
4121,A Cure for Dead,,0,0,0,0,0,0,0,0,0,0
4122,1600 Penn,1 win.,1,0,0,0,0,0,0,0,0,0
4123,A Documentary of Life,,0,0,0,0,0,0,0,0,0,0
4124,Four Nations: Il Settebello conquista la California,,0,0,0,0,0,0,0,0,0,0
4125,One Moment in Time: The Life of Whitney Houston,,0,0,0,0,0,0,0,0,0,0
4126,10 Things You Don't Know About,,0,0,0,0,0,0,0,0,0,0
4127,Adventures of JAB,,0,0,0,0,0,0,0,0,0,0
4128,Concerto: One Night in Central Park,,0,0,0,0,0,0,0,0,0,0
4129,3 Days to Open with Bobby Flay,,0,0,0,0,0,0,0,0,0,0
4130,2 petalia dromos,,0,0,0,0,0,0,0,0,0,0
4131,Arizona,,0,0,0,0,0,0,0,0,0,0
4132,MasterChef Indonesia,,0,0,0,0,0,0,0,0,0,0
4133,Lucas,,0,0,0,0,0,0,0,0,0,0
4134,Lecciones para una guerra,,0,0,0,0,0,0,0,0,0,0
4135,Alice in Liar Game,,0,0,0,0,0,0,0,0,0,0
4136,Obsesión,,0,0,0,0,0,0,0,0,0,0
4137,A Healthier Charlotte,,0,0,0,0,0,0,0,0,0,0
4138,Shakespeare in Italy,,0,0,0,0,0,0,0,0,0,0
4139,A-studio: Stream,,0,0,0,0,0,0,0,0,0,0
4140,Brand X with Russell Brand,,0,0,0,0,0,0,0,0,0,0
4141,Violencia Doméstica,,0,0,0,0,0,0,0,0,0,0
4142,All About Lizzie,,0,0,0,0,0,0,0,0,0,0
4143,Oddities San Francisco,,0,0,0,0,0,0,0,0,0,0
4144,Rocky Mountain Express,1 win.,1,0,0,0,0,0,0,0,0,0
4145,Akko to Bokura ga Ikita Natsu,,0,0,0,0,0,0,0,0,0,0
4146,Abandoned in Guatemala: The Failure of International Adoption Policies,,0,0,0,0,0,0,0,0,0,0
4147,Bill Burr: You People Are All the Same.,,0,0,0,0,0,0,0,0,0,0
4148,Jazz Hands,,0,0,0,0,0,0,0,0,0,0
4149,Signal: Luca on Mondays,,0,0,0,0,0,0,0,0,0,0
4150,AKA Shaman,,0,0,0,0,0,0,0,0,0,0
4151,Loose Ends,,0,0,0,0,0,0,0,0,0,0
4152,1911 Review of the Year,,0,0,0,0,0,0,0,0,0,0
4153,7 Brothers,,0,0,0,0,0,0,0,0,0,0
4154,The Newtown Girls,,0,0,0,0,0,0,0,0,0,0
4155,You're Not in Kansas Anymore with Stephen Lang,,0,0,0,0,0,0,0,0,0,0
4156,Death Wish,,0,0,0,0,0,0,0,0,0,0
4157,Care Farms of the Netherlands,,0,0,0,0,0,0,0,0,0,0
4158,Akujo ni tsuite,,0,0,0,0,0,0,0,0,0,0
4159,Take the Gifts,,0,0,0,0,0,0,0,0,0,0
4160,Cheer Perfection,,0,0,0,0,0,0,0,0,0,0
4161,Steel Panther: The British Invasion,,0,0,0,0,0,0,0,0,0,0
4162,A Violation of Trust,,0,0,0,0,0,0,0,0,0,0
4163,Akai ito no onna,,0,0,0,0,0,0,0,0,0,0
4164,New York,,0,0,0,0,0,0,0,0,0,0
4165,A Chance to Dance,,0,0,0,0,0,0,0,0,0,0
4166,Ainsi soient-ils,,0,0,0,0,0,0,0,0,0,0
4167,Olympics Opening Ceremony,,0,0,0,0,0,0,0,0,0,0
4168,Mississippi,,0,0,0,0,0,0,0,0,0,0
4169,Acampamento de Férias 3,,0,0,0,0,0,0,0,0,0,0
4170,Acchi Kocchi,,0,0,0,0,0,0,0,0,0,0
4171,15 zona: Cerco ós matalobos,,0,0,0,0,0,0,0,0,0,0
4172,The Uninvited,,0,0,0,0,0,0,0,0,0,0
4173,Like a Good Neighbor,,0,0,0,0,0,0,0,0,0,0
4174,Pat le chef,,0,0,0,0,0,0,0,0,0,0
4175,ADHD Rush Hour,,0,0,0,0,0,0,0,0,0,0
4176,Christmas in Washington,,0,0,0,0,0,0,0,0,0,0
4177,Actor,,0,0,0,0,0,0,0,0,0,0
4178,Alltag unterm Hakenkreuz,,0,0,0,0,0,0,0,0,0,0
4179,6Degrees,,0,0,0,0,0,0,0,0,0,0
4180,86'd,,0,0,0,0,0,0,0,0,0,0
4181,High Tide,,0,0,0,0,0,0,0,0,0,0
4182,Adventures in Assisting,,0,0,0,0,0,0,0,0,0,0
4183,Abby's Ultimate Dance Competition,,0,0,0,0,0,0,0,0,0,0
4184,Aethereal,,0,0,0,0,0,0,0,0,0,0
4185,Rules of the Game,,0,0,0,0,0,0,0,0,0,0
4186,48 Hours: Best of the Fest,,0,0,0,0,0,0,0,0,0,0
4187,Stories of Trust: Calling for Climate Recovery; Part 7 - TRUST Pennsylvania,,0,0,0,0,0,0,0,0,0,0
4188,Espírito Santo Futebol Clube,,0,0,0,0,0,0,0,0,0,0
4189,37 sai de isha ni natta boku: kenshûi junjô monogatari,,0,0,0,0,0,0,0,0,0,0
4190,La Nave,,0,0,0,0,0,0,0,0,0,0
4191,Collision Course,,0,0,0,0,0,0,0,0,0,0
4192,Family Portrait,,0,0,0,0,0,0,0,0,0,0
4193,First Date: The Finale,,0,0,0,0,0,0,0,0,0,0
4194,Kristina Rose: Unfiltered,,0,0,0,0,0,0,0,0,0,0
4195,A-klassen,,0,0,0,0,0,0,0,0,0,0
4196,Matt Braunger: Shovel Fighter,,0,0,0,0,0,0,0,0,0,0
4197,Alles Klara,,0,0,0,0,0,0,0,0,0,0
4198,10 Things That Make Me Happy,,0,0,0,0,0,0,0,0,0,0
4199,2012 World Series,,0,0,0,0,0,0,0,0,0,0
4200,Adam Richman's Best Sandwich in America,,0,0,0,0,0,0,0,0,0,0
4201,Acaba2 la serie,,0,0,0,0,0,0,0,0,0,0
4202,Pilot Fatigue,,0,0,0,0,0,0,0,0,0,0
4203,Action Sports Plus,,0,0,0,0,0,0,0,0,0,0
4204,Admissions,,0,0,0,0,0,0,0,0,0,0
4205,LP Into the Wild Live at Eastwest Studios,,0,0,0,0,0,0,0,0,0,0
4206,13 Steps Down,,0,0,0,0,0,0,0,0,0,0
4207,The Unexpected,,0,0,0,0,0,0,0,0,0,0
4208,Playing with Fire,,0,0,0,0,0,0,0,0,0,0
4209,10 Best Outdoor Projects,,0,0,0,0,0,0,0,0,0,0
4210,Ahora Marta,,0,0,0,0,0,0,0,0,0,0
4211,Accel World,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
4212,Alignment,,0,0,0,0,0,0,0,0,0,0
4213,Akumu chan,,0,0,0,0,0,0,0,0,0,0
4214,1812,,0,0,0,0,0,0,0,0,0,0
4215,Adopting Terror,,0,0,0,0,0,0,0,0,0,0
4216,La guerre du Royal Palace,,0,0,0,0,0,0,0,0,0,0
4217,This Ain't Jaws XXX,1 nomination.,0,1,0,0,0,0,0,0,0,0
4218,Big Shoes to Fill,,0,0,0,0,0,0,0,0,0,0
4219,8 Out of 10 Cats Does Countdown,,0,0,0,0,0,0,0,0,0,0
4220,Aberrant Behaviors,,0,0,0,0,0,0,0,0,0,0
4221,A Brew Hope,,0,0,0,0,0,0,0,0,0,0
4222,Last Night,,0,0,0,0,0,0,0,0,0,0
4223,A Mala Ideal (viaje na viagem),,0,0,0,0,0,0,0,0,0,0
4224,Katie,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
4225,Vanessa & Jan,,0,0,0,0,0,0,0,0,0,0
4226,Game Night,,0,0,0,0,0,0,0,0,0,0
4227,The Day That David Ray Logan Escaped from the Prentiss County Jail,,0,0,0,0,0,0,0,0,0,0
4228,4Some,,0,0,0,0,0,0,0,0,0,0
4229,Marcelo Yuka no Caminho das Setas (Marcelo Yuka: Follow the Signs),2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
4230,Plan B,,0,0,0,0,0,0,0,0,0,0
4231,The Bensonhurst Spelling Bee,,0,0,0,0,0,0,0,0,0,0
4232,Aimless,,0,0,0,0,0,0,0,0,0,0
4233,Aftopsia,,0,0,0,0,0,0,0,0,0,0
4234,A Gentleman's Dignity,4 nominations.,0,4,0,0,0,0,0,0,0,0
4235,7 Days of Sex,,0,0,0,0,0,0,0,0,0,0
4236,Ashes to Ashes,,0,0,0,0,0,0,0,0,0,0
4237,Human Game 3: The Revelation,,0,0,0,0,0,0,0,0,0,0
4238,Laptop,1 nomination.,0,1,0,0,0,0,0,0,0,0
4239,Le gemelle Wrestler,,0,0,0,0,0,0,0,0,0,0
4240,Save KLSD: Media Consolidation and Local Radio,,0,0,0,0,0,0,0,0,0,0
4241,Ladders,,0,0,0,0,0,0,0,0,0,0
4242,A Limey in the USA,,0,0,0,0,0,0,0,0,0,0
4243,10 Second Traumas,,0,0,0,0,0,0,0,0,0,0
4244,Breaking News,,0,0,0,0,0,0,0,0,0,0
4245,Over,,0,0,0,0,0,0,0,0,0,0
4246,100 Calabazas,,0,0,0,0,0,0,0,0,0,0
4247,All You Can Meat,,0,0,0,0,0,0,0,0,0,0
4248,Souvenirs,,0,0,0,0,0,0,0,0,0,0
4249,I Sold My Soul for a Browns Superbowl,,0,0,0,0,0,0,0,0,0,0
4250,31 Questions,1 nomination.,0,1,0,0,0,0,0,0,0,0
4251,Haunted House for Sale,,0,0,0,0,0,0,0,0,0,0
4252,Bitter Pill,,0,0,0,0,0,0,0,0,0,0
4253,ICW All Fired Up,,0,0,0,0,0,0,0,0,0,0
4254,Stockholm,,0,0,0,0,0,0,0,0,0,0
4255,Arrestation,,0,0,0,0,0,0,0,0,0,0
4256,3 Mistresses,,0,0,0,0,0,0,0,0,0,0
4257,Nowhere to Go,,0,0,0,0,0,0,0,0,0,0
4258,All the Right Moves,,0,0,0,0,0,0,0,0,0,0
4259,Unattainable: A Ninja Story,,0,0,0,0,0,0,0,0,0,0
4260,Royal Sabotage: A Lust Story,,0,0,0,0,0,0,0,0,0,0
4261,Angels,,0,0,0,0,0,0,0,0,0,0
4262,Aian shefu,,0,0,0,0,0,0,0,0,0,0
4263,1 voor de verkiezingen,,0,0,0,0,0,0,0,0,0,0
4264,Access: Middle East,,0,0,0,0,0,0,0,0,0,0
4265,Invitation,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
4266,Android Insurrection,,0,0,0,0,0,0,0,0,0,0
4267,A Story with Me in It,,0,0,0,0,0,0,0,0,0,0
4268,Eating Alabama,6 nominations.,0,6,0,0,0,0,0,0,0,0
4269,3D 101 with Director Marc Webb,,0,0,0,0,0,0,0,0,0,0
4270,Hundstage,,0,0,0,0,0,0,0,0,0,0
4271,Alma al diablo,,0,0,0,0,0,0,0,0,0,0
4272,Tony Hawk's Ride Channel,,0,0,0,0,0,0,0,0,0,0
4273,Alemin kirali,,0,0,0,0,0,0,0,0,0,0
4274,A Serious Jeannie,,0,0,0,0,0,0,0,0,0,0
4275,New Years Eve: Gag Reel,,0,0,0,0,0,0,0,0,0,0
4276,Aliah,,0,0,0,0,0,0,0,0,0,0
4277,Alien Replicant Ninja Legend SHINDAIOHMARU: Shindaiohmaru vs. Gilgamesh - The Final Showdown,,0,0,0,0,0,0,0,0,0,0
4278,A Football Life,1 nomination.,0,1,0,0,0,0,0,0,0,0
4279,Aikatsu!,,0,0,0,0,0,0,0,0,0,0
4280,Alien Deep with Bob Ballard,,0,0,0,0,0,0,0,0,0,0
4281,The First Day,,0,0,0,0,0,0,0,0,0,0
4282,Skinny Jeans,,0,0,0,0,0,0,0,0,0,0
4283,A Poem Is...,1 nomination.,0,1,0,0,0,0,0,0,0,0
4284,CBS 48 Hours Presents; Vanity Fair: Hollywood Scandal,,0,0,0,0,0,0,0,0,0,0
4285,All Access: Ronda Rousey,,0,0,0,0,0,0,0,0,0,0
4286,All Access: Canelo vs Lopez,,0,0,0,0,0,0,0,0,0,0
4287,Dream Gamblers,,0,0,0,0,0,0,0,0,0,0
4288,Lisa,,0,0,0,0,0,0,0,0,0,0
4289,Race to the Top Commencement Challenge Special,1 nomination.,0,1,0,0,0,0,0,0,0,0
4290,All You Can Eat,,0,0,0,0,0,0,0,0,0,0
4291,A Mother's Son,1 nomination.,0,1,0,0,0,0,0,0,0,0
4292,Teatro Sem Fronteiras,,0,0,0,0,0,0,0,0,0,0
4293,Kindness of Strangers,,0,0,0,0,0,0,0,0,0,0
4294,The Cop; the Ex and the Idiot,,0,0,0,0,0,0,0,0,0,0
4295,MariAna,,0,0,0,0,0,0,0,0,0,0
4296,Best in TV: The Greatest TV Shows of Our Time,,0,0,0,0,0,0,0,0,0,0
4297,Sing Me the Songs That Say I Love You: A Concert for Kate McGarrigle,,0,0,0,0,0,0,0,0,0,0
4298,Achter gesloten deuren,,0,0,0,0,0,0,0,0,0,0
4299,Assembly,,0,0,0,0,0,0,0,0,0,0
4300,Sins of the Father,,0,0,0,0,0,0,0,0,0,0
4301,Behind Closed Doors,,0,0,0,0,0,0,0,0,0,0
4302,La guapa y la cool de las gafas de sul,,0,0,0,0,0,0,0,0,0,0
4303,All-Access Kentucky,,0,0,0,0,0,0,0,0,0,0
4304,Ronaldo: Tested to the Limit,,0,0,0,0,0,0,0,0,0,0
4305,Mr Blue Sky: The Story of Jeff Lynne & ELO,,0,0,0,0,0,0,0,0,0,0
4306,30,,0,0,0,0,0,0,0,0,0,0
4307,Allah Islam,,0,0,0,0,0,0,0,0,0,0
4308,2012: Shift-Evolve-Survive,,0,0,0,0,0,0,0,0,0,0
4309,Until We Meet Again,,0,0,0,0,0,0,0,0,0,0
4310,Never Alone,,0,0,0,0,0,0,0,0,0,0
4311,Caligula: 1400 Days of Terror,,0,0,0,0,0,0,0,0,0,0
4312,Till Death Do Us Part,,0,0,0,0,0,0,0,0,0,0
4313,A TV é Tua,,0,0,0,0,0,0,0,0,0,0
4314,Jeff Dunham: Minding the Monsters,,0,0,0,0,0,0,0,0,0,0
4315,AA System Life,,0,0,0,0,0,0,0,0,0,0
4316,It's Rhys Darby Night!,,0,0,0,0,0,0,0,0,0,0
4317,Bangladesh,,0,0,0,0,0,0,0,0,0,0
4318,Australia's Lost Gold: The Legend of Lasseter,2 nominations.,0,2,0,0,0,0,0,0,0,0
4319,Adventure to Fitness,,0,0,0,0,0,0,0,0,0,0
4320,All of Me's,,0,0,0,0,0,0,0,0,0,0
4321,Stalked at 17,,0,0,0,0,0,0,0,0,0,0
4322,Jake,,0,0,0,0,0,0,0,0,0,0
4323,The Declaration of Education Independence,,0,0,0,0,0,0,0,0,0,0
4324,Iron Man XXX: An Extreme Comixxx Parody,,0,0,0,0,0,0,0,0,0,0
4325,Holiday High School Reunion,,0,0,0,0,0,0,0,0,0,0
4326,KNFR from 7:00-7:30,,0,0,0,0,0,0,0,0,0,0
4327,A-List Listings,,0,0,0,0,0,0,0,0,0,0
4328,After School Club,,0,0,0,0,0,0,0,0,0,0
4329,Addicts & Animals,,0,0,0,0,0,0,0,0,0,0
4330,De erfenis van Pim: 87 dagen ruzie,,0,0,0,0,0,0,0,0,0,0
4331,US Election Night 2012,,0,0,0,0,0,0,0,0,0,0
4332,New England Airways,,0,0,0,0,0,0,0,0,0,0
4333,The Con Job,1 nomination.,0,1,0,0,0,0,0,0,0,0
4334,Hollywood Walk of Shame,,0,0,0,0,0,0,0,0,0,0
4335,Recoletos (arriba y abajo),,0,0,0,0,0,0,0,0,0,0
4336,The Real Man's Road Trip: Sean & Jon Go West,,0,0,0,0,0,0,0,0,0,0
4337,Nicki Minaj: My Truth,,0,0,0,0,0,0,0,0,0,0
4338,Absolute Mehrheit - Meinung muss sich wieder lohnen,1 nomination.,0,1,0,0,0,0,0,0,0,0
4339,Alles für die Kunst! - Die Fernseh-Masterclass,,0,0,0,0,0,0,0,0,0,0
4340,Good Day LA: Behind the Scenes with Richie Sambora and Nikki Lund - Part 4,,0,0,0,0,0,0,0,0,0,0
4341,A Problem Shared,,0,0,0,0,0,0,0,0,0,0
4342,Nevada,,0,0,0,0,0,0,0,0,0,0
4343,Trick or Treat (Won't Use Mace),,0,0,0,0,0,0,0,0,0,0
4344,POSE Back to School Commercial,,0,0,0,0,0,0,0,0,0,0
4345,Airport Douchery,,0,0,0,0,0,0,0,0,0,0
4346,Al rojo vivo,,0,0,0,0,0,0,0,0,0,0
4347,Alaska Marshals,,0,0,0,0,0,0,0,0,0,0
4348,NFL Road Tested: The Cleveland Browns,,0,0,0,0,0,0,0,0,0,0
4349,Florida,,0,0,0,0,0,0,0,0,0,0
4350,Amor de Carnaval,,0,0,0,0,0,0,0,0,0,0
4351,Agents,,0,0,0,0,0,0,0,0,0,0
4352,Chris Hardwick: Mandroid,,0,0,0,0,0,0,0,0,0,0
4353,Another Way Home,,0,0,0,0,0,0,0,0,0,0
4354,99 Problems (Explicit Political Remix),,0,0,0,0,0,0,0,0,0,0
4355,Who's Your Daddy 13,,0,0,0,0,0,0,0,0,0,0
4356,Benji,1 nomination.,0,1,0,0,0,0,0,0,0,0
4357,3; 2; 1 - Ilus hüpe,,0,0,0,0,0,0,0,0,0,0
4358,Fox 40 Morning News,,0,0,0,0,0,0,0,0,0,0
4359,21 Days of Seaton,,0,0,0,0,0,0,0,0,0,0
4360,La rage et la passion: Boxing Beats Aubervilliers,,0,0,0,0,0,0,0,0,0,0
4361,Un día gris; un día azul; igual al mar,,0,0,0,0,0,0,0,0,0,0
4362,The Dark Charisma of Adolf Hitler,,0,0,0,0,0,0,0,0,0,0
4363,Wild Things with Dominic Monaghan,Nominated for 1 Primetime Emmy. Another 3 nominations.,0,4,0,0,1,0,0,0,0,0
4364,:Presentes,,0,0,0,0,0,0,0,0,0,0
4365,All the Wrong Notes,,0,0,0,0,0,0,0,0,0,0
4366,EDSA XXX: Nothing Ever Changes in the Ever-Changing Republic of Ek-Ek-Ek,1 nomination.,0,1,0,0,0,0,0,0,0,0
4367,Abby,,0,0,0,0,0,0,0,0,0,0
4368,4 Hochzeiten und eine Traumreise,,0,0,0,0,0,0,0,0,0,0
4369,Eko Eko Azarak: The First Episode of Misa Kuroi,,0,0,0,0,0,0,0,0,0,0
4370,42 Seconds of Happiness,,0,0,0,0,0,0,0,0,0,0
4371,No Place Like Home,1 nomination.,0,1,0,0,0,0,0,0,0,0
4372,Uncle,,0,0,0,0,0,0,0,0,0,0
4373,Lucille in Love: I Saw You,,0,0,0,0,0,0,0,0,0,0
4374,South,,0,0,0,0,0,0,0,0,0,0
4375,All in the Method,,0,0,0,0,0,0,0,0,0,0
4376,13 maneres de quedar-se sol,,0,0,0,0,0,0,0,0,0,0
4377,Tomas and Jackie,,0,0,0,0,0,0,0,0,0,0
4378,Advent in XXL,,0,0,0,0,0,0,0,0,0,0
4379,4 minutos con chef Treviño,,0,0,0,0,0,0,0,0,0,0
4380,16:00,,0,0,0,0,0,0,0,0,0,0
4381,Akis,,0,0,0,0,0,0,0,0,0,0
4382,Jersey on Ice,,0,0,0,0,0,0,0,0,0,0
4383,... With Micah Luke and Robert Kitchen,,0,0,0,0,0,0,0,0,0,0
4384,Costume Dresses Designed for Bondage,,0,0,0,0,0,0,0,0,0,0
4385,17e sans ascenseur,,0,0,0,0,0,0,0,0,0,0
4386,Cuba; Batista et la mafia,,0,0,0,0,0,0,0,0,0,0
4387,1.C,,0,0,0,0,0,0,0,0,0,0
4388,Til Death Do Us Part,,0,0,0,0,0,0,0,0,0,0
4389,Extreme,,0,0,0,0,0,0,0,0,0,0
4390,The Big and Best of 2012,,0,0,0,0,0,0,0,0,0,0
4391,1821,,0,0,0,0,0,0,0,0,0,0
4392,Christopher and Kayli Tolleson: A Family Affair,,0,0,0,0,0,0,0,0,0,0
4393,Son of the Michigan Dogman,,0,0,0,0,0,0,0,0,0,0
4394,136,,0,0,0,0,0,0,0,0,0,0
4395,Akata Makata me ta Zouzounia,,0,0,0,0,0,0,0,0,0,0
4396,An Unfortunate Friday the 13th Part 4,,0,0,0,0,0,0,0,0,0,0
4397,Actua,,0,0,0,0,0,0,0,0,0,0
4398,4Funnies,,0,0,0,0,0,0,0,0,0,0
4399,18.0,,0,0,0,0,0,0,0,0,0,0
4400,Airship Dracula,,0,0,0,0,0,0,0,0,0,0
4401,Allegiance of Powers,,0,0,0,0,0,0,0,0,0,0
4402,A World Apart: The Great Journey,,0,0,0,0,0,0,0,0,0,0
4403,Great Lakes Expedition,,0,0,0,0,0,0,0,0,0,0
4404,All About the McKenzies,,0,0,0,0,0,0,0,0,0,0
4405,Your Mom Made Me Cum,,0,0,0,0,0,0,0,0,0,0
4406,St. Patrick's Day,,0,0,0,0,0,0,0,0,0,0
4407,A Brilliant Road Trip,,0,0,0,0,0,0,0,0,0,0
4408,Sisi: The Whole Truth,,0,0,0,0,0,0,0,0,0,0
4409,Al houroub,,0,0,0,0,0,0,0,0,0,0
4410,Don't Panic on Leap Day,,0,0,0,0,0,0,0,0,0,0
4411,Breaking Polygamy,,0,0,0,0,0,0,0,0,0,0
4412,ACF,,0,0,0,0,0,0,0,0,0,0
4413,Alfie the Office Dog,,0,0,0,0,0,0,0,0,0,0
4414,Ship O'Fools,,0,0,0,0,0,0,0,0,0,0
4415,Sex and Corruption: Episode 1,,0,0,0,0,0,0,0,0,0,0
4416,1:1 Thierry Henry,,0,0,0,0,0,0,0,0,0,0
4417,Acceso Exclusivo: Pumas,,0,0,0,0,0,0,0,0,0,0
4418,A Hollywood Affair,,0,0,0,0,0,0,0,0,0,0
4419,Arnulf Ratings Stresstest Deutschland,,0,0,0,0,0,0,0,0,0,0
4420,Sueños Inmortales: Salón de la Fama del Beisbol Latino,,0,0,0,0,0,0,0,0,0,0
4421,Airshow Extreme,,0,0,0,0,0,0,0,0,0,0
4422,Pretty Little Liars: Little Secrets from the Set,,0,0,0,0,0,0,0,0,0,0
4423,The Kennedy Center Honors,Won 2 Primetime Emmys. Another 2 nominations.,2,2,0,0,0,0,0,0,2,0
4424,9/11: Explosive Evidence - Experts Speak Out,,0,0,0,0,0,0,0,0,0,0
4425,3 Cousins,,0,0,0,0,0,0,0,0,0,0
4426,A Todo Mecate con Alex y Pekas,,0,0,0,0,0,0,0,0,0,0
4427,Subcultures,,0,0,0,0,0,0,0,0,0,0
4428,Circus,,0,0,0,0,0,0,0,0,0,0
4429,Abigail,1 nomination.,0,1,0,0,0,0,0,0,0,0
4430,Baby Steps,,0,0,0,0,0,0,0,0,0,0
4431,Fight,,0,0,0,0,0,0,0,0,0,0
