,Title,Awards,Wins,Nominations,Bafta_Nominations,Oscar_Nominations,Prime_Nominations,Golden_Globe_Nominations,Bafta_Wins,Oscar_Wins,Prime_Wins,Golden_Globe_Wins
84,The Big Time,1 nomination.,0,1,0,0,0,0,0,0,0,0
85,La decisión de San Mateo,,0,0,0,0,0,0,0,0,0,0
86,Atrévete a olvidarme,,0,0,0,0,0,0,0,0,0,0
87,Harry Potter and the Chamber of Secrets,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,11,42,3,0,0,0,0,0,0,0
88,Sins of the Father,6 nominations.,0,6,0,0,0,0,0,0,0,0
89,Armadillo,,0,0,0,0,0,0,0,0,0,0
90,Bachelors Walk,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
91,I Spy,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
92,7 Lives Xposed,,0,0,0,0,0,0,0,0,0,0
93,Alles komt terug,,0,0,0,0,0,0,0,0,0,0
94,The Ring,14 wins & 11 nominations.,14,11,0,0,0,0,0,0,0,0
95,A Dalmatians Point of View,,0,0,0,0,0,0,0,0,0,0
96,Jalousie,,0,0,0,0,0,0,0,0,0,0
97,2DTV,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
98,'Orrible,,0,0,0,0,0,0,0,0,0,0
99,Adventure Divas,,0,0,0,0,0,0,0,0,0,0
100,Dr. Terrible's House of Horrible,,0,0,0,0,0,0,0,0,0,0
101,Asbestos,,0,0,0,0,0,0,0,0,0,0
102,Black and White,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
103,Family Outing,,0,0,0,0,0,0,0,0,0,0
104,Reel Life: Lost Boys - The Denver High School Massacre,,0,0,0,0,0,0,0,0,0,0
105,1 jaar gratis,,0,0,0,0,0,0,0,0,0,0
106,Adamseplene: Full pupp,,0,0,0,0,0,0,0,0,0,0
107,Agrippine,,0,0,0,0,0,0,0,0,0,0
108,Arsenio Jams,,0,0,0,0,0,0,0,0,0,0
109,Back of the Y Masterpiece Television,,0,0,0,0,0,0,0,0,0,0
110,Home Truths,,0,0,0,0,0,0,0,0,0,0
111,A Passage to Middle-earth: The Making of 'Lord of the Rings',,0,0,0,0,0,0,0,0,0,0
112,+ de cinéma,,0,0,0,0,0,0,0,0,0,0
113,Agua y aceite,,0,0,0,0,0,0,0,0,0,0
114,Alienators: Evolution Continues,,0,0,0,0,0,0,0,0,0,0
115,Alma libre,,0,0,0,0,0,0,0,0,0,0
