word,frequency,rank
reason,439,455
silver,437,456
kept,436,457
joy,436,458
mighty,432,459
hour,430,460
large,429,461
book,429,462
money,429,463
field,427,464
im,426,465
tree,426,466
feel,424,467
living,423,468
help,423,469
wicked,422,470
war,420,471
ask,420,472
often,420,473
remember,419,474
fine,417,475
understand,415,476
macian,413,477
course,413,478
country,412,479
returned,410,480
pleasure,408,481
spoken,407,482
dwell,404,483
twenty,404,484
saul,402,485
altar,402,486
nations,400,487
garden,399,488
burnt,398,489
strange,398,490
person,397,491
ready,397,492
certainly,397,493
send,396,494
written,394,495
able,394,496
whales,393,497
faith,391,498
women,390,499
harriet,390,500
anything,388,501
alice,388,502
surely,388,503
short,385,504
ought,385,505
dark,384,506
broken,384,507
wherefore,383,508
chief,383,509
sweet,383,510
strength,382,511
weston,382,512
praise,381,513
laid,380,514
ran,379,515
red,378,516
judgment,376,517
congregation,376,518
either,372,519
green,371,520
brown,371,521
itself,371,522
yea,371,523
business,368,524
walked,367,525
meet,367,526
received,365,527
nature,365,528
kingdom,364,529
glad,363,530
bed,360,531
gate,360,532
jacob,360,533
suppose,359,534
suddenly,359,535
wise,359,536
honour,357,537
ham,357,538
doubt,356,539
beyond,354,540
lost,354,541
daughters,354,542
rose,353,543
trees,352,544
blessed,351,545
table,350,546
mans,350,547
wall,349,548
opened,347,549
six,345,550
hair,345,551
knowledge,344,552
chapter,342,553
master,341,554
seek,340,555
seeing,339,556
immediately,339,557
save,338,558
deal,338,559
talk,338,560
mercy,337,561
silence,336,562
thats,336,563
knightley,336,564
works,336,565
sit,335,566
meat,334,567
tabernacle,331,568
sing,331,569
mount,331,570
case,330,571
seed,329,572
spirits,329,573
sound,328,574
hard,328,575
offer,328,576
enemies,327,577
point,327,578
read,325,579
bad,325,580
cry,324,581
deep,323,582
run,323,583
judge,322,584
wind,321,585
thoughts,321,586
become,321,587
aaron,320,588
fruit,320,589
wilderness,319,590
making,318,591
letter,317,592
elton,317,593
delivered,317,594
month,316,595
gathered,316,596
shew,316,597
destroy,315,598
past,315,599
righteousness,314,600
third,314,601
continued,313,602
wine,312,603
appeared,310,604
lest,310,605
fair,310,606
wood,309,607
places,309,608
fight,309,609
carried,308,610
deliver,308,611
please,308,612
hardly,307,613
free,307,614
fast,307,615
darkness,307,616
cant,307,617
already,307,618
anger,307,619
company,306,620
ways,306,621
forward,305,622
sake,305,623
sense,305,624
colonel,305,625
river,305,626
low,304,627
used,304,628
hosts,304,629
followed,303,630
boat,303,631
covenant,302,632
comes,302,633
party,301,634
died,301,635
use,301,636
longer,301,637
wild,301,638
princes,298,639
possible,298,640
seem,297,641
stone,297,642
hell,296,643
thyself,295,644
idea,294,645
close,294,646
solomon,293,647
common,293,648
angel,293,649
sleep,292,650
number,292,651
concerning,292,652
receive,292,653
babylon,291,654
arm,291,655
standing,291,656
vain,291,657
general,291,658
husband,289,659
oil,289,660
care,289,661
gentleman,288,662
wait,287,663
doth,287,664
early,287,665
silent,287,666
perfect,287,667
means,286,668
pretty,286,669
yourself,285,670
sometimes,285,671
spoke,285,672
became,285,673
wilt,284,674
except,283,675
wisdom,283,676
cometh,283,677
mary,282,678
feelings,282,679
need,280,680
iniquity,280,681
grace,278,682
beginning,277,683
top,277,684
wonder,276,685
rise,276,686
state,275,687
added,275,688
length,274,689
hill,274,690
jane,274,691
serve,273,692
multitude,273,693
wanted,272,694
visit,271,695
change,271,696
born,271,697
offerings,270,698
pleased,269,699
follow,269,700
stay,268,701
cold,268,702
battle,268,703
ships,267,704
instant,267,705
filled,266,706
jews,266,707
iron,265,708
host,265,709
lie,265,710
levites,265,711
girl,265,712
twelve,264,713
woodhouse,264,714
heavens,264,715
beautiful,263,716
prophet,263,717
mothers,262,718
subject,262,719
secret,262,720
blue,262,721
philistines,261,722
real,261,723
held,260,724
doing,260,725
play,260,726
window,258,727
mountains,258,728
lived,258,729
street,257,730
seems,256,731
wrong,256,732
question,256,733
break,256,734
elliot,254,735
therein,254,736
tribe,254,737
song,254,738
comfort,253,739
south,253,740
ark,252,741
account,252,742
temple,252,743
throne,252,744
righteous,252,745
ears,251,746
houses,250,747
wont,250,748
prophets,250,749
late,249,750
disciples,248,751
order,248,752
smote,247,753
line,247,754
beast,247,755
